ID,Sentence A,Sentence B
1,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,51. 나는 제어권 전환으로 인한 수동 운전 가능성을 항상 생각합니다. 
2,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,42. 자율 주행 기능이 자주 비활성화 될 것 같은 환경에서는 사람이 직접 운전하는 것이 낫습니다. 
3,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,43. 제어권 전환 상황이 발생했을 때 제어권을 바로 이양받지 않으면 안된다고 생각합니다. 
4,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,6. 조건부 자율 주행 시스템의 지침을 따르지 않으면 교통사고 위험이 증가합니다. 
5,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,9. 여러 단계의 안전 장치가 장착된 자율 주행 시스템을 선호합니다. 
6,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,37. 나는 자율 주행 시스템의 한계점을 항상 숙지하고자 합니다. 
7,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,38. 나는 자율 주행 시스템 기능들의 표기 위치 (e.g. 앞 차량간 간격을 맞춰주는 기능이 활성화 되어 있음을 알려주는 visual cue의 위치)를 숙지하려고 합니다. 
8,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,40. 나는 자율주행 중 졸음에 경각심이 있습니다. 
9,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,48. 나는 교차로나 복잡한 구간에서는 직접 운전하는 것이 안전하다고 생각합니다. 
10,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,15. 나는 자율 주행 시스템의 한계를 이해하고 응급 상황에서의 절차를 이해하기 위해 상세한 훈련에 참여하길 원합니다. 
11,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,53. 나는 기상 악화나 야간 운전 시 자율주행 사용을 자제합니다. 
12,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,47. 나는 자율주행을 보조 수단으로 간주합니다. 
13,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,46. 나는 자율 주행 시스템이 돌발 상황에 완벽히 대응하지 못한다고 생각합니다. 
14,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,"39. 나는 최근 자율주행 관련 이슈, 뉴스 등에 관심이 있습니다. "
15,50. 나는 자율주행 중에도 운전자의 지속적인 주시가 필요하다고 생각합니다. ,16. 내가 술을 마셨을 때 자율 주행 차량을 운전하는 것은 괜찮습니다. 
